Type,Time,Minimum
Global CPU,10.301,0.1373
Global CPU,9.958,0.180077
Global CPU,10.539,0.09226
Global CPU,10.266,0.279065
Global CPU,10.242,0.215591
Global CPU,10.22,0.228667
Global CPU,10.128,0.11608
Global CPU,9.625,0.320059
Global CPU,10.95,0.318451
Global CPU,10.2,0.149237
Global GPU,0.167,-205.388733
Global GPU,0.17,-205.388733
Global GPU,0.232,-205.388733
Global GPU,0.233,-205.388733
Global GPU,0.233,-205.388733
Global GPU,0.235,-214.930862
Global GPU,0.232,-214.930862
Global GPU,0.233,-214.930862
Global GPU,0.232,-214.930862
Global GPU,0.235,-231.992065
