Type,Time,Minimum
Global CPU,10.012,0.373776
Global CPU,9.845,0.20403
Global CPU,10.352,0.074509
Global CPU,10.237,0.18572
Global CPU,10.732,0.059252
Global CPU,10.134,0.651408
Global CPU,9.701,0.022916
Global CPU,10.181,0.187201
Global CPU,10.191,0.050156
Global CPU,10.087,0.062581
Global GPU,0.166,-232.945282
Global GPU,0.162,-232.945282
Global GPU,0.16,-232.945282
Global GPU,0.185,-229.122131
Global GPU,0.161,-229.122131
Global GPU,0.159,-229.122131
Global GPU,0.165,-229.122131
Global GPU,0.159,-229.122131
Global GPU,0.158,-229.122131
Global GPU,0.172,-213.233887
