Type,Time,Minimum
Global CPU,9.679,0.341889
Global CPU,10.214,0.156805
Global CPU,10.188,0.145006
Global CPU,10.156,0.125275
Global CPU,10.315,0.099047
Global CPU,9.713,0.080048
Global CPU,10.175,0.042634
Global CPU,10.237,0.068492
Global CPU,10.77,0.202268
Global CPU,10.324,0.184251
Global GPU,0.161,-214.232071
Global GPU,0.167,-214.232071
Global GPU,0.158,-214.232071
Global GPU,0.168,-196.672485
Global GPU,0.16,-196.672485
Global GPU,0.165,-196.672485
Global GPU,0.162,-196.672485
Global GPU,0.163,-196.672485
Global GPU,0.183,-196.672485
Global GPU,0.17,-204.941559
