Type,Time,Minimum
Global CPU,10.22,0.020364
Global CPU,10.243,0.119629
Global CPU,10.166,0.124162
Global CPU,10.476,0.323865
Global CPU,10.008,0.185297
Global CPU,10.175,0.490524
Global CPU,10.372,0.02236
Global CPU,10.169,0.332597
Global CPU,9.846,0.112283
Global CPU,10.138,0.450315
Global GPU,0.161,-200.863647
Global GPU,0.179,-200.863647
Global GPU,0.159,-200.863647
Global GPU,0.167,-225.203369
Global GPU,0.158,-225.203369
Global GPU,0.16,-225.203369
Global GPU,0.164,-225.203369
Global GPU,0.16,-225.203369
Global GPU,0.159,-225.203369
Global GPU,0.174,-200.730469
