Type,Time,Minimum
Global CPU,9.703,0.124562
Global CPU,10.181,0.028392
Global CPU,10.162,0.146422
Global CPU,10.248,0.148576
Global CPU,10.085,0.091846
Global CPU,9.821,0.098007
Global CPU,10.307,0.245331
Global CPU,10.263,0.01967
Global CPU,10.782,0.214606
Global CPU,10.16,0.368464
Global GPU,0.16,-232.450317
Global GPU,0.157,-232.450317
Global GPU,0.157,-232.450317
Global GPU,0.157,-232.450317
Global GPU,0.166,-210.345642
Global GPU,0.164,-210.345642
Global GPU,0.16,-210.345642
Global GPU,0.165,-210.345642
Global GPU,0.161,-210.345642
Global GPU,0.163,-210.345642
