Type,Time,Minimum
Global CPU,10.298,0.084192
Global CPU,10.188,0.164519
Global CPU,10.145,0.21341
Global CPU,10.664,0.036726
Global CPU,9.721,0.087568
Global CPU,10.1,0.04975
Global CPU,10.42,0.15529
Global CPU,10.257,0.069739
Global CPU,9.93,0.226647
Global CPU,9.843,0.135884
Global GPU,0.173,-212.552216
Global GPU,0.163,-212.552216
Global GPU,0.161,-212.552216
Global GPU,0.163,-212.552216
Global GPU,0.159,-227.874634
Global GPU,0.161,-227.874634
Global GPU,0.166,-227.874634
Global GPU,0.159,-227.874634
Global GPU,0.164,-227.874634
Global GPU,0.161,-227.874634
