Type,Time,Minimum
Global CPU,10.27,0.066155
Global CPU,10.292,0.111244
Global CPU,10.322,0.172103
Global CPU,10.356,0.169173
Global CPU,9.839,0.195111
Global CPU,10.201,0.07212
Global CPU,10.22,0.044476
Global CPU,10.226,0.040616
Global CPU,9.782,0.050912
Global CPU,9.969,0.030192
Global GPU,0.159,-197.364044
Global GPU,0.169,-204.70575
Global GPU,0.168,-204.70575
Global GPU,0.165,-204.70575
Global GPU,0.159,-204.70575
Global GPU,0.165,-204.70575
Global GPU,0.162,-204.70575
Global GPU,0.161,-204.494476
Global GPU,0.171,-204.494476
Global GPU,0.164,-204.494476
