Type,Time,Minimum
Global CPU,10.931,0.624035
Global CPU,10.421,0.071931
Global CPU,10.057,0.073241
Global CPU,9.968,0.200491
Global CPU,10.591,0.303114
Global CPU,10.309,0.039997
Global CPU,10.302,0.267898
Global CPU,10.201,0.118367
Global CPU,10.315,0.258803
Global CPU,10.315,0.089564
Global GPU,0.162,-231.262909
Global GPU,0.158,-231.262909
Global GPU,0.159,-231.262909
Global GPU,0.161,-216.957947
Global GPU,0.156,-216.957947
Global GPU,0.165,-216.957947
Global GPU,0.159,-216.957947
Global GPU,0.16,-216.957947
Global GPU,0.155,-216.957947
Global GPU,0.166,-225.459854
