Type,Time,Minimum
Global CPU,10.071,0.142809
Global CPU,9.923,0.108017
Global CPU,10.334,0.064481
Global CPU,10.227,0.077024
Global CPU,10.166,0.153792
Global CPU,9.998,0.288449
Global CPU,9.879,0.302606
Global CPU,10.234,0.231122
Global CPU,10.343,0.301492
Global CPU,10.252,0.213457
Global GPU,0.162,-215.439941
Global GPU,0.159,-215.439941
Global GPU,0.167,-215.439941
Global GPU,0.161,-215.439941
Global GPU,0.159,-215.439941
Global GPU,0.165,-235.52562
Global GPU,0.168,-235.52562
Global GPU,0.16,-235.52562
Global GPU,0.169,-235.52562
Global GPU,0.164,-235.52562
