Type,Time,Minimum
Global CPU,10.314,0.143186
Global CPU,9.746,0.014062
Global CPU,10.237,0.195812
Global CPU,10.324,0.293472
Global CPU,10.35,0.269031
Global CPU,10.216,0.119454
Global CPU,9.719,0.204794
Global CPU,10.329,0.060874
Global CPU,10.353,0.15042
Global CPU,10.244,0.202201
Global GPU,0.167,-239.679688
Global GPU,0.156,-239.679688
Global GPU,0.169,-212.646439
Global GPU,0.162,-212.646439
Global GPU,0.159,-212.646439
Global GPU,0.162,-212.646439
Global GPU,0.166,-212.646439
Global GPU,0.163,-212.646439
Global GPU,0.162,-209.831833
Global GPU,0.169,-209.831833
