Type,Time,Minimum
Global CPU,9.806,0.207312
Global CPU,10.44,0.096688
Global CPU,10.98,0.191577
Global CPU,10.447,0.088332
Global CPU,10.349,0.124204
Global CPU,9.855,0.151008
Global CPU,10.29,0.259867
Global CPU,10.372,0.075662
Global CPU,10.227,0.204967
Global CPU,10.468,0.133164
Global GPU,0.235,-209.159393
Global GPU,0.236,-209.159393
Global GPU,0.235,-209.159393
Global GPU,0.236,-209.159393
Global GPU,0.234,-226.409851
Global GPU,0.234,-226.409851
Global GPU,0.234,-226.409851
Global GPU,0.235,-226.409851
Global GPU,0.238,-208.923401
Global GPU,0.225,-208.923401
