Type,Time,Minimum
Global CPU,10.335,0.33459
Global CPU,10.314,0.082274
Global CPU,10.316,0.059286
Global CPU,10.073,0.251212
Global CPU,10.388,0.101966
Global CPU,10.312,0.040365
Global CPU,10.274,0.160277
Global CPU,9.975,0.280733
Global CPU,9.961,0.054107
Global CPU,10.28,0.050361
Global GPU,0.162,-216.699615
Global GPU,0.169,-210.876953
Global GPU,0.219,-210.876953
Global GPU,0.234,-210.876953
Global GPU,0.235,-210.876953
Global GPU,0.235,-210.876953
Global GPU,0.234,-200.519577
Global GPU,0.235,-200.519577
Global GPU,0.235,-200.519577
Global GPU,0.235,-200.519577
