Type,Time,Minimum
Global CPU,9.618,0.008135
Global CPU,10.172,0.031452
Global CPU,10.382,0.049195
Global CPU,10.283,0.09963
Global CPU,10.213,0.282456
Global CPU,9.772,0.049581
Global CPU,10.199,0.15708
Global CPU,10.184,0.341439
Global CPU,10.291,0.043227
Global CPU,10.332,0.14542
Global GPU,0.165,-207.192627
Global GPU,0.158,-207.192627
Global GPU,0.163,-227.268005
Global GPU,0.16,-227.268005
Global GPU,0.161,-227.268005
Global GPU,0.17,-227.268005
Global GPU,0.165,-227.268005
Global GPU,0.161,-227.268005
Global GPU,0.165,-212.827423
Global GPU,0.164,-212.827423
