Type,Time,Minimum
Global CPU,10.289,0.112154
Global CPU,10.049,0.394745
Global CPU,10.216,0.099131
Global CPU,9.648,0.156091
Global CPU,10.225,0.087497
Global CPU,10.241,0.472427
Global CPU,10.328,0.064338
Global CPU,10.089,0.013968
Global CPU,9.472,0.139419
Global CPU,10.164,0.124525
Global GPU,0.177,-213.941696
Global GPU,0.238,-213.941696
Global GPU,0.227,-213.941696
Global GPU,0.238,-213.941696
Global GPU,0.24,-224.18576
Global GPU,0.162,-224.18576
Global GPU,0.166,-224.18576
Global GPU,0.158,-224.18576
Global GPU,0.177,-216.602631
Global GPU,0.164,-216.602631
